iter	RMSE
0	56293.22839
1	55481.79929
2	54687.10592
3	54014.6118
4	53385.62305
5	52679.78797
6	52007.1969
7	51364.06581
8	50839.45481
9	50251.05783
10	49689.01582
11	49176.05223
12	48733.41362
13	48267.57012
14	47861.11822
15	47475.0969
16	47094.43062
17	46631.42939
18	46322.81397
19	45960.33757
20	45529.58393
21	45227.98345
22	44871.15355
23	44523.69002
24	44177.43895
25	43854.20541
26	43604.56131
27	43347.86334
28	43058.1616
29	42796.20914
30	42482.01341
31	42210.91636
32	41938.68035
33	41673.1477
34	41434.52745
35	41231.72141
36	41033.31746
37	40824.41718
38	40588.07273
39	40399.75971
40	40189.3432
41	39978.35554
42	39762.21437
43	39549.43931
44	39396.38669
45	39257.32114
46	39090.45967
47	38946.25883
48	38755.76769
49	38572.57054
50	38433.88656
51	38287.31286
52	38152.60339
53	37991.19041
54	37861.02732
55	37709.87862
56	37542.15183
57	37364.96897
58	37248.62041
59	37141.16888
60	37000.31532
61	36842.69249
62	36742.04748
63	36605.73055
64	36496.62138
65	36362.92204
66	36232.80208
67	36103.4287
68	36016.25733
69	35888.51724
70	35710.8519
71	35592.24997
72	35502.19947
73	35403.69721
74	35299.74264
75	35235.06489
76	35170.24699
77	35035.30117
78	34912.99588
79	34809.13412
80	34746.01402
81	34688.91049
82	34586.07219
83	34510.62765
84	34411.65094
85	34343.0896
86	34289.91862
87	34239.26264
88	34170.92799
89	34067.82365
90	33945.73987
91	33882.23534
92	33786.59015
93	33675.21436
94	33623.02639
95	33511.14407
96	33453.27953
97	33384.11885
98	33310.07448
99	33244.06643
100	33207.61146
101	33151.5352
102	33014.605
103	32947.55705
104	32882.51878
105	32825.12721
106	32774.75534
107	32717.51027
108	32658.55994
109	32585.9036
110	32546.42188
111	32493.0209
112	32467.96467
113	32429.44452
114	32405.03963
115	32359.82304
116	32298.00457
117	32261.86212
118	32196.08283
119	32116.40031
120	32069.45242
121	32015.70722
122	31951.37996
123	31928.33178
124	31874.44534
125	31835.18496
126	31817.17136
127	31760.25332
128	31696.86033
129	31655.84603
130	31617.22656
131	31590.52103
132	31522.51955
133	31462.15784
134	31386.79392
135	31379.57596
136	31328.23637
137	31237.80427
138	31138.76782
139	31084.61494
140	31039.85394
141	31014.39119
142	30958.63243
143	30920.79827
144	30877.90145
145	30846.4319
146	30806.78615
147	30780.54207
148	30749.63177
149	30696.88681
150	30663.73274
151	30628.2527
152	30596.3181
153	30566.8267
154	30461.07047
155	30401.80614
156	30363.379
157	30330.83033
158	30300.19063
159	30260.76813
160	30235.87292
161	30174.36659
162	30115.10704
163	30065.25575
164	30042.52634
165	30009.42578
166	29951.14239
167	29902.36985
168	29839.7745
169	29783.53264
170	29755.66159
171	29669.88458
172	29622.31436
173	29601.22118
174	29594.17539
175	29536.19599
176	29464.59709
177	29416.23838
178	29370.7423
179	29364.35122
180	29337.66216
181	29305.88315
182	29279.45869
183	29242.89318
184	29221.11666
185	29189.77006
186	29160.62988
187	29099.91401
188	29040.26371
189	28993.1549
190	28962.58499
191	28919.94993
192	28910.29155
193	28856.98203
194	28844.16315
195	28766.24114
196	28760.06911
197	28708.46101
198	28640.96838
199	28636.07763
200	28601.67814
201	28560.30646
202	28552.72205
203	28503.71609
204	28467.92731
205	28442.11201
206	28432.23128
207	28405.27696
208	28362.26918
209	28323.03968
210	28298.39623
211	28222.32928
212	28148.73506
213	28097.84029
214	28039.32049
215	28008.7758
216	27956.98426
217	27949.9017
218	27906.85704
219	27879.8278
220	27873.38428
221	27824.12917
222	27750.32352
223	27718.40863
224	27710.53016
225	27647.69698
226	27557.44426
227	27522.88064
228	27448.07691
229	27371.59723
230	27316.47291
231	27280.96525
232	27232.53783
233	27188.24277
234	27147.8533
235	27109.79278
236	27063.87667
237	27036.84737
238	27002.59591
239	26942.91127
240	26905.41317
241	26878.65034
242	26800.2707
243	26769.5222
244	26760.10985
245	26705.52398
246	26662.42821
247	26652.34977
248	26614.10054
249	26607.8853
250	26565.65072
251	26533.24834
252	26508.73203
253	26476.83443
254	26434.5466
255	26412.44518
256	26369.15372
257	26326.65775
258	26269.95934
259	26231.52785
260	26193.95082
261	26164.70651
262	26115.36693
263	26107.71789
264	26057.52935
265	26033.2873
266	26027.73677
267	25977.21393
268	25924.39318
269	25895.16941
270	25853.66032
271	25807.92625
272	25751.77851
273	25746.72405
274	25712.47575
275	25661.17749
276	25624.81027
277	25577.65549
278	25507.48951
279	25456.93083
280	25421.96455
281	25351.8353
282	25308.31101
283	25283.06024
284	25277.68281
285	25266.14264
286	25225.1863
287	25164.92977
288	25122.88506
289	25089.67672
290	25047.26078
291	25012.63306
292	24996.56221
293	24942.34123
294	24935.93451
295	24875.80841
296	24838.78338
297	24790.64348
298	24734.26507
299	24714.5976
300	24664.03057
301	24620.65235
302	24582.92024
303	24530.71721
304	24510.24402
305	24474.62642
306	24463.77051
307	24422.06388
308	24375.50019
309	24336.75906
310	24282.11883
311	24273.41986
312	24230.7372
313	24180.6981
314	24145.02639
315	24123.34003
316	24050.72848
317	24045.45343
318	24010.98353
319	23959.64397
320	23952.71539
321	23921.13387
322	23916.4016
323	23912.26475
324	23907.69236
325	23893.48346
326	23843.16754
327	23796.96609
328	23752.67154
329	23736.44122
330	23701.29178
331	23658.46624
332	23627.8744
333	23567.80318
334	23536.27713
335	23498.07327
336	23463.72814
337	23455.24463
338	23422.27676
339	23416.80257
340	23377.55246
341	23371.05159
342	23326.97882
343	23305.94256
344	23259.64643
345	23255.40185
346	23247.75565
347	23191.57249
348	23187.5569
349	23183.78777
350	23155.66422
351	23140.15941
352	23117.28268
353	23071.44774
354	23046.20561
355	23006.73854
356	22974.61566
357	22949.77768
358	22904.77374
359	22899.02119
360	22876.51787
361	22841.84517
362	22817.32995
363	22766.81225
364	22764.11962
365	22760.4145
366	22736.67723
367	22702.27682
368	22698.71936
369	22666.89452
370	22633.40065
371	22598.61939
372	22565.31951
373	22562.78167
374	22531.43321
375	22498.59452
376	22460.41222
377	22432.99236
378	22398.44552
379	22364.64689
380	22362.21209
381	22325.4436
382	22321.18741
383	22295.45826
384	22260.15771
385	22230.89255
386	22213.88545
387	22183.20464
388	22180.24132
389	22177.25278
390	22149.0955
391	22133.56308
392	22131.30153
393	22091.82372
394	22089.54061
395	22060.20445
396	22054.46382
397	22017.15203
398	21978.64084
399	21947.01511
400	21913.90042
401	21868.70698
402	21865.16564
403	21835.67702
404	21811.04106
405	21763.73525
406	21760.64117
407	21726.37258
408	21698.96524
409	21674.22829
410	21630.51018
411	21589.01705
412	21561.65736
413	21557.71139
414	21514.91151
415	21486.00376
416	21444.71043
417	21442.55
418	21417.0419
419	21413.26317
420	21364.0535
421	21326.81224
422	21309.97793
423	21288.64072
424	21242.34905
425	21203.2657
426	21188.04825
427	21185.03773
428	21163.98731
429	21147.67222
430	21109.82894
431	21078.21809
432	21049.25714
433	21027.86075
434	21002.7696
435	20966.38804
436	20951.38509
437	20927.06935
438	20914.47717
439	20882.68242
440	20856.63191
441	20838.21098
442	20802.96949
443	20787.34248
444	20759.95217
445	20758.10044
446	20753.59437
447	20709.85486
448	20684.36844
449	20653.74232
450	20650.03202
451	20632.52442
452	20629.18208
453	20598.60773
454	20562.4364
455	20518.79922
456	20487.8794
457	20461.38459
458	20459.18407
459	20426.64019
460	20392.3903
461	20380.06616
462	20342.68375
463	20309.00851
464	20297.52078
465	20273.96571
466	20247.7781
467	20223.68423
468	20212.10878
469	20193.71035
470	20181.20735
471	20148.45114
472	20140.03029
473	20103.87157
474	20101.4041
475	20086.32028
476	20070.07187
477	20052.07975
478	20047.42352
479	20005.95648
480	19977.39118
481	19956.79461
482	19923.68997
483	19899.64017
484	19877.66611
485	19854.48629
486	19833.03527
487	19810.20755
488	19781.70202
489	19778.53399
490	19749.3744
491	19730.01222
492	19713.08912
493	19700.63729
494	19698.14966
495	19675.28285
496	19645.10902
497	19616.42955
498	19606.2043
499	19598.29097
500	19569.45104
501	19554.41361
502	19528.01977
503	19502.75568
504	19460.64433
505	19458.88667
506	19446.73661
507	19406.05182
508	19376.24769
509	19374.62976
510	19350.16599
511	19330.51776
512	19321.48626
513	19287.96384
514	19284.54489
515	19282.8273
516	19262.59762
517	19260.78774
518	19259.12403
519	19248.8023
520	19220.34805
521	19209.64988
522	19201.9906
523	19181.57686
524	19179.92091
525	19157.13062
526	19132.85157
527	19106.9947
528	19084.71291
529	19060.30082
530	19047.86968
531	19046.43849
532	19025.68952
533	19010.17034
534	18994.68409
535	18989.57882
536	18954.81503
537	18928.52613
538	18927.13854
539	18901.70569
540	18875.68522
541	18854.61039
542	18829.55139
543	18800.80577
544	18773.38137
545	18751.66097
546	18738.50843
547	18717.47898
548	18688.30019
549	18662.83574
550	18637.24621
551	18611.75008
552	18583.07303
553	18560.52841
554	18540.34568
555	18521.90182
556	18520.14834
557	18518.8689
558	18492.46145
559	18491.03792
560	18473.31148
561	18447.34885
562	18425.54747
563	18403.641
564	18383.11815
565	18364.55533
566	18351.81626
567	18326.32267
568	18299.08301
569	18285.40444
570	18269.35675
571	18243.30969
572	18221.92601
573	18193.19908
574	18152.29842
575	18121.87401
576	18103.40833
577	18101.30483
578	18086.3483
579	18058.59879
580	18036.51452
581	18035.141
582	18012.49922
583	17989.12433
584	17969.62882
585	17950.90914
586	17911.9752
587	17910.72675
588	17892.34746
589	17882.88908
590	17861.67035
591	17858.5579
592	17840.99726
593	17827.75833
594	17800.28827
595	17779.802
596	17762.68589
597	17752.14834
598	17748.03501
599	17733.24774
600	17731.84101
601	17703.60427
602	17682.47689
603	17673.37608
604	17646.71376
605	17630.18611
606	17628.13545
607	17624.11278
608	17619.04559
609	17605.14471
610	17581.35104
611	17558.423
612	17539.65679
613	17509.04546
614	17507.38759
615	17478.54777
616	17468.48578
617	17440.4397
618	17425.53391
619	17401.20667
620	17389.03657
621	17373.66527
622	17372.22909
623	17368.55825
624	17351.31083
625	17333.78237
626	17313.05494
627	17290.5968
628	17267.69493
629	17266.29758
630	17243.4491
631	17231.31772
632	17209.61897
633	17177.79274
634	17154.76479
635	17149.00817
636	17135.94473
637	17116.6283
638	17093.96715
639	17076.61331
640	17063.65376
641	17049.03343
642	17047.73499
643	17029.47427
644	17017.15796
645	16991.01731
646	16959.79567
647	16958.56958
648	16946.51413
649	16929.6285
650	16912.04792
651	16896.19295
652	16884.51685
653	16868.91608
654	16849.85044
655	16839.04219
656	16817.47495
657	16806.86772
658	16797.72303
659	16777.49993
660	16760.45229
661	16748.32655
662	16731.13279
663	16715.74654
664	16696.83498
665	16672.76243
666	16650.66948
667	16644.04706
668	16630.65884
669	16613.72188
670	16602.89756
671	16573.21325
672	16547.06819
673	16535.67054
674	16519.03046
675	16494.90373
676	16476.32874
677	16457.79791
678	16448.36055
679	16425.26745
680	16404.81903
681	16385.10855
682	16362.92694
683	16361.14808
684	16344.95442
685	16339.44677
686	16315.36983
687	16313.63284
688	16286.82333
689	16274.14255
690	16269.65836
691	16249.86221
692	16238.54534
693	16223.57619
694	16211.87218
695	16190.00671
696	16169.41933
697	16157.21402
698	16134.36065
699	16116.98682
700	16098.00606
701	16080.42336
702	16065.10782
703	16041.79414
704	16028.01379
705	16010.58734
706	15985.44676
707	15981.50656
708	15980.11199
709	15962.80959
710	15948.4319
711	15945.54321
712	15933.523
713	15932.11929
714	15931.02538
715	15918.48574
716	15902.77256
717	15878.81808
718	15861.39584
719	15839.06807
720	15821.76667
721	15808.98478
722	15783.21128
723	15757.12545
724	15739.43454
725	15726.01302
726	15710.6298
727	15692.69659
728	15682.6629
729	15681.41744
730	15662.80358
731	15636.24979
732	15618.66112
733	15598.73769
734	15576.07681
735	15558.02376
736	15533.77423
737	15517.9677
738	15515.87817
739	15506.62966
740	15491.61396
741	15490.35809
742	15468.37353
743	15456.54785
744	15441.36953
745	15418.49573
746	15406.87853
747	15380.9598
748	15372.67165
749	15350.85025
750	15335.72832
751	15334.55194
752	15319.26563
753	15306.35597
754	15288.29354
755	15277.94326
756	15266.56664
757	15249.32293
758	15238.07884
759	15219.40309
760	15202.13124
761	15201.10669
762	15185.47994
763	15167.37723
764	15151.70191
765	15133.73051
766	15132.29361
767	15113.60146
768	15104.97966
769	15085.92286
770	15061.68456
771	15046.02542
772	15032.33381
773	15015.02577
774	15000.22848
775	14985.66161
776	14966.48306
777	14965.2989
778	14949.79125
779	14948.71679
780	14946.59002
781	14941.33983
782	14930.9559
783	14913.45778
784	14897.27779
785	14887.37748
786	14874.57949
787	14854.48302
788	14851.10654
789	14850.15827
790	14836.09562
791	14824.22484
792	14801.67676
793	14782.75703
794	14764.9232
795	14752.69894
796	14736.79602
797	14714.06813
798	14712.16626
799	14711.09731
800	14688.18104
801	14672.01846
802	14656.47769
803	14639.39684
804	14625.37662
805	14604.61529
806	14592.55187
807	14580.73726
808	14563.8245
809	14535.92321
810	14525.74271
811	14508.53796
812	14507.34623
813	14498.02249
814	14478.78556
815	14461.83415
816	14437.2837
817	14426.91532
818	14425.86104
819	14398.59592
820	14383.61111
821	14368.84833
822	14357.60732
823	14356.40131
824	14345.48765
825	14323.28964
826	14322.2439
827	14305.62997
828	14288.17935
829	14275.52085
830	14256.84247
831	14255.39361
832	14244.18893
833	14237.14701
834	14221.22844
835	14213.21769
836	14212.04296
837	14198.95443
838	14197.98749
839	14192.27011
840	14188.81548
841	14166.60073
842	14165.73022
843	14159.54096
844	14158.57391
845	14145.64452
846	14128.39887
847	14118.20313
848	14104.13958
849	14082.20338
850	14081.26652
851	14072.51914
852	14056.6077
853	14033.53289
854	14029.8143
855	14015.53695
856	14014.63523
857	14013.63185
858	14000.50216
859	13988.94822
860	13975.168
861	13961.85197
862	13960.87124
863	13959.51179
864	13946.62737
