iter	Passed	Remaining
0	153	152902
1	163	81696
2	174	57934
3	186	46330
4	197	39323
5	209	34665
6	221	31385
7	234	29085
8	247	27203
9	259	25643
10	270	24276
11	283	23353
12	296	22478
13	307	21681
14	318	20928
15	332	20440
16	346	20044
17	361	19730
18	373	19302
19	385	18867
20	396	18494
21	409	18216
22	419	17834
23	433	17614
24	444	17350
25	457	17139
26	468	16897
27	480	16679
28	492	16483
29	503	16272
30	513	16060
31	525	15895
32	536	15723
33	547	15547
34	559	15433
35	572	15317
36	582	15173
37	594	15060
38	606	14936
39	618	14843
40	629	14726
41	641	14634
42	652	14529
43	663	14409
44	674	14318
45	685	14218
46	696	14131
47	708	14048
48	720	13982
49	733	13930
50	744	13849
51	755	13768
52	767	13705
53	779	13660
54	794	13645
55	808	13623
56	819	13556
57	830	13488
58	842	13440
59	853	13377
60	864	13312
61	874	13233
62	886	13188
63	897	13129
64	907	13052
65	919	13007
66	931	12966
67	941	12908
68	957	12913
69	973	12930
70	987	12917
71	1000	12898
72	1014	12880
73	1027	12860
74	1041	12846
75	1055	12829
76	1070	12830
77	1084	12814
78	1097	12798
79	1112	12797
80	1127	12786
81	1138	12748
82	1151	12724
83	1166	12718
84	1180	12707
85	1194	12690
86	1207	12666
87	1220	12649
88	1234	12641
89	1248	12621
90	1268	12667
91	1285	12683
92	1332	13000
93	1356	13071
94	1373	13087
95	1396	13148
96	1419	13211
97	1437	13227
98	1458	13275
99	1478	13302
100	1499	13342
101	1518	13369
102	1533	13359
103	1549	13347
104	1566	13352
105	1579	13321
106	1593	13298
107	1606	13270
108	1622	13265
109	1638	13259
110	1656	13268
111	1670	13245
112	1682	13205
113	1697	13194
114	1721	13247
115	1733	13211
116	1749	13203
117	1765	13198
118	1779	13172
119	1791	13138
120	1806	13126
121	1816	13071
122	1827	13028
123	1837	12978
124	1846	12925
125	1856	12876
126	1865	12824
127	1875	12775
128	1885	12729
129	1896	12691
130	1909	12663
131	1921	12638
132	1932	12594
133	1943	12560
134	1953	12515
135	1962	12470
136	1978	12460
137	1994	12457
138	2008	12442
139	2021	12417
140	2032	12384
141	2042	12342
142	2053	12309
143	2064	12269
144	2074	12231
145	2085	12196
146	2095	12159
147	2105	12123
148	2116	12086
149	2129	12067
150	2140	12036
151	2151	12001
152	2161	11963
153	2172	11935
154	2183	11902
155	2192	11859
156	2203	11828
157	2213	11794
158	2223	11759
159	2234	11730
160	2244	11695
161	2256	11670
162	2267	11643
163	2278	11613
164	2287	11578
165	2298	11547
166	2308	11515
167	2319	11486
168	2329	11456
169	2339	11420
170	2349	11390
171	2359	11358
172	2368	11322
173	2378	11290
174	2387	11253
175	2397	11223
176	2406	11189
177	2416	11160
178	2426	11130
179	2435	11094
180	2445	11063
181	2454	11030
182	2463	10999
183	2472	10967
184	2482	10934
185	2492	10906
186	2501	10873
187	2512	10850
188	2521	10820
189	2532	10794
190	2541	10765
191	2551	10735
192	2560	10707
193	2570	10678
194	2579	10650
195	2589	10623
196	2598	10592
197	2608	10567
198	2617	10537
199	2627	10511
200	2637	10485
201	2646	10456
202	2656	10430
203	2666	10402
204	2676	10379
205	2685	10349
206	2694	10323
207	2704	10298
208	2713	10270
209	2723	10244
210	2732	10217
211	2742	10191
212	2751	10165
213	2760	10140
214	2771	10117
215	2780	10092
216	2791	10070
217	2800	10045
218	2811	10025
219	2821	10002
220	2830	9978
221	2841	9958
222	2852	9940
223	2862	9915
224	2873	9895
225	2882	9872
226	2892	9850
227	2904	9834
228	2916	9818
229	2927	9800
230	2938	9781
231	2947	9757
232	2957	9736
233	2967	9714
234	2976	9688
235	2986	9666
236	2994	9641
237	3004	9620
238	3013	9596
239	3024	9577
240	3034	9555
241	3043	9532
242	3052	9510
243	3061	9484
244	3070	9462
245	3079	9437
246	3087	9413
247	3096	9390
248	3105	9367
249	3115	9346
250	3124	9323
251	3135	9306
252	3144	9283
253	3154	9264
254	3164	9244
255	3172	9220
256	3182	9202
257	3191	9178
258	3201	9159
259	3210	9136
260	3220	9117
261	3230	9098
262	3242	9085
263	3252	9067
264	3263	9051
265	3272	9031
266	3283	9014
267	3293	8994
268	3303	8977
269	3314	8961
270	3323	8941
271	3334	8924
272	3344	8907
273	3354	8888
274	3364	8871
275	3374	8851
276	3383	8832
277	3393	8814
278	3404	8798
279	3414	8780
280	3424	8763
281	3434	8744
282	3444	8727
283	3454	8708
284	3463	8690
285	3473	8671
286	3483	8653
287	3493	8635
288	3502	8615
289	3511	8597
290	3524	8588
291	3536	8573
292	3546	8557
293	3559	8546
294	3576	8547
295	3586	8531
296	3597	8514
297	3607	8498
298	3616	8479
299	3626	8462
300	3636	8443
301	3645	8426
302	3655	8408
303	3664	8390
304	3674	8374
305	3684	8355
306	3694	8340
307	3705	8324
308	3715	8308
309	3725	8293
310	3736	8278
311	3746	8261
312	3756	8246
313	3766	8229
314	3777	8214
315	3787	8199
316	3797	8182
317	3807	8165
318	3818	8151
319	3828	8135
320	3838	8120
321	3848	8103
322	3859	8089
323	3870	8074
324	3879	8057
325	3889	8041
326	3899	8026
327	3910	8011
328	3921	7997
329	3931	7981
330	3941	7966
331	3952	7952
332	3961	7935
333	3972	7921
334	3982	7906
335	3992	7890
336	4003	7876
337	4012	7859
338	4023	7844
339	4033	7830
340	4042	7812
341	4054	7799
342	4064	7785
343	4074	7769
344	4086	7758
345	4096	7743
346	4106	7726
347	4117	7713
348	4127	7698
349	4138	7685
350	4149	7672
351	4160	7658
352	4187	7675
353	4218	7698
354	4262	7744
355	4277	7738
356	4293	7732
357	4315	7739
358	4335	7740
359	4348	7730
360	4372	7738
361	4385	7728
362	4398	7718
363	4434	7748
364	4446	7735
365	4455	7718
366	4467	7705
367	4476	7688
368	4487	7673
369	4499	7661
370	4512	7650
371	4525	7639
372	4534	7622
373	4544	7606
374	4553	7589
375	4563	7573
376	4573	7557
377	4582	7540
378	4592	7524
379	4601	7507
380	4614	7497
381	4630	7491
382	4641	7477
383	4655	7468
384	4671	7461
385	4681	7446
386	4691	7430
387	4703	7419
388	4715	7406
389	4725	7390
390	4735	7376
391	4747	7362
392	4756	7346
393	4766	7330
394	4779	7321
395	4794	7313
396	4811	7307
397	4824	7297
398	4836	7284
399	4852	7279
400	4871	7277
401	4885	7267
402	4905	7266
403	4918	7256
404	4928	7241
405	4941	7228
406	4953	7217
407	4971	7213
408	4981	7197
409	4994	7187
410	5009	7179
411	5027	7175
412	5040	7164
413	5054	7153
414	5066	7141
415	5076	7126
416	5086	7111
417	5098	7099
418	5108	7083
419	5118	7068
420	5127	7052
421	5137	7037
422	5148	7022
423	5159	7009
424	5171	6996
425	5183	6984
426	5194	6970
427	5205	6957
428	5217	6944
429	5232	6936
430	5251	6932
431	5264	6921
432	5275	6908
433	5292	6901
434	5304	6889
435	5315	6876
436	5327	6863
437	5342	6854
438	5355	6844
439	5366	6830
440	5375	6813
441	5385	6798
442	5394	6783
443	5403	6766
444	5413	6751
445	5421	6734
446	5431	6719
447	5441	6704
448	5453	6692
449	5466	6681
450	5477	6667
451	5489	6655
452	5502	6644
453	5517	6635
454	5531	6626
455	5545	6615
456	5558	6604
457	5572	6594
458	5583	6580
459	5593	6565
460	5604	6552
461	5615	6539
462	5625	6524
463	5635	6509
464	5648	6498
465	5658	6483
466	5666	6467
467	5676	6452
468	5684	6435
469	5693	6420
470	5702	6405
471	5713	6390
472	5721	6374
473	5731	6360
474	5741	6345
475	5750	6330
476	5773	6330
477	5782	6314
478	5792	6300
479	5800	6284
480	5810	6269
481	5818	6253
482	5828	6239
483	5837	6223
484	5846	6208
485	5858	6195
486	5869	6182
487	5882	6171
488	5895	6161
489	5908	6149
490	5918	6135
491	5931	6124
492	5942	6111
493	5954	6098
494	5962	6083
495	5974	6070
496	5983	6056
497	5997	6045
498	6008	6032
499	6017	6017
500	6027	6003
501	6037	5989
502	6049	5977
503	6059	5963
504	6069	5949
505	6080	5936
506	6089	5921
507	6097	5905
508	6106	5890
509	6114	5874
510	6123	5859
511	6131	5844
512	6140	5829
513	6151	5816
514	6160	5801
515	6168	5786
516	6179	5772
517	6191	5760
518	6203	5748
519	6211	5733
520	6220	5718
521	6228	5703
522	6237	5688
523	6245	5673
524	6254	5658
525	6263	5644
526	6277	5634
527	6288	5621
528	6296	5606
529	6305	5591
530	6313	5576
531	6322	5561
532	6331	5547
533	6339	5532
534	6348	5517
535	6356	5502
536	6365	5488
537	6374	5473
538	6383	5460
539	6392	5445
540	6402	5432
541	6411	5417
542	6422	5404
543	6431	5391
544	6440	5376
545	6450	5363
546	6474	5362
547	6487	5350
548	6500	5340
549	6509	5326
550	6520	5313
551	6530	5300
552	6541	5287
553	6554	5277
554	6564	5263
555	6573	5249
556	6582	5235
557	6590	5220
558	6599	5206
559	6607	5191
560	6617	5178
561	6625	5163
562	6634	5149
563	6643	5135
564	6652	5122
565	6663	5109
566	6671	5094
567	6680	5080
568	6688	5066
569	6699	5053
570	6708	5040
571	6717	5026
572	6726	5012
573	6734	4998
574	6743	4984
575	6751	4970
576	6760	4956
577	6768	4941
578	6777	4927
579	6785	4913
580	6794	4899
581	6802	4885
582	6811	4871
583	6819	4857
584	6828	4844
585	6836	4829
586	6845	4816
587	6853	4802
588	6862	4788
589	6870	4774
590	6879	4761
591	6887	4747
592	6896	4733
593	6905	4719
594	6914	4706
595	6923	4692
596	6931	4679
597	6940	4665
598	6948	4651
599	6957	4638
600	6966	4624
601	6974	4611
602	6983	4597
603	6992	4584
604	7000	4570
605	7009	4557
606	7017	4543
607	7026	4530
608	7035	4516
609	7043	4503
610	7052	4489
611	7061	4476
612	7069	4463
613	7078	4450
614	7087	4436
615	7095	4423
616	7105	4410
617	7113	4396
618	7122	4383
619	7130	4370
620	7139	4357
621	7147	4343
622	7156	4330
623	7164	4317
624	7175	4305
625	7183	4291
626	7192	4278
627	7201	4265
628	7209	4252
629	7217	4239
630	7229	4227
631	7238	4214
632	7246	4201
633	7255	4188
634	7264	4175
635	7273	4162
636	7281	4149
637	7290	4136
638	7298	4123
639	7307	4110
640	7315	4097
641	7324	4084
642	7332	4071
643	7341	4058
644	7349	4045
645	7358	4032
646	7367	4019
647	7375	4006
648	7384	3993
649	7392	3980
650	7400	3967
651	7409	3954
652	7418	3942
653	7426	3929
654	7435	3916
655	7443	3903
656	7452	3890
657	7461	3878
658	7470	3865
659	7478	3852
660	7490	3841
661	7502	3830
662	7515	3820
663	7525	3808
664	7538	3797
665	7552	3787
666	7564	3776
667	7576	3765
668	7588	3754
669	7600	3743
670	7609	3731
671	7621	3720
672	7634	3709
673	7648	3699
674	7660	3688
675	7674	3678
676	7686	3667
677	7697	3655
678	7707	3643
679	7720	3633
680	7729	3620
681	7739	3608
682	7748	3596
683	7756	3583
684	7765	3571
685	7773	3558
686	7783	3545
687	7792	3533
688	7802	3521
689	7810	3509
690	7818	3496
691	7828	3484
692	7837	3471
693	7846	3459
694	7854	3446
695	7863	3434
696	7872	3422
697	7882	3410
698	7891	3398
699	7900	3385
700	7909	3373
701	7919	3361
702	7929	3350
703	7939	3338
704	7950	3326
705	7959	3314
706	7968	3302
707	7977	3289
708	7985	3277
709	7994	3265
710	8005	3254
711	8015	3242
712	8025	3230
713	8033	3217
714	8042	3205
715	8050	3193
716	8059	3180
717	8067	3168
718	8076	3156
719	8085	3144
720	8094	3132
721	8102	3119
722	8111	3107
723	8119	3095
724	8129	3083
725	8138	3071
726	8146	3059
727	8155	3047
728	8166	3035
729	8174	3023
730	8183	3011
731	8192	2999
732	8201	2987
733	8209	2975
734	8218	2963
735	8227	2951
736	8235	2938
737	8244	2926
738	8253	2914
739	8263	2903
740	8272	2891
741	8280	2879
742	8289	2867
743	8298	2855
744	8307	2843
745	8315	2831
746	8324	2819
747	8332	2807
748	8341	2795
749	8350	2783
750	8359	2771
751	8367	2759
752	8376	2747
753	8385	2735
754	8394	2724
755	8405	2712
756	8414	2701
757	8423	2689
758	8431	2677
759	8440	2665
760	8448	2653
761	8457	2641
762	8466	2629
763	8475	2618
764	8484	2606
765	8493	2594
766	8501	2582
767	8510	2570
768	8519	2559
769	8527	2547
770	8536	2535
771	8545	2523
772	8554	2511
773	8562	2500
774	8571	2488
775	8580	2476
776	8588	2465
777	8596	2453
778	8605	2441
779	8616	2430
780	8624	2418
781	8633	2406
782	8641	2395
783	8650	2383
784	8659	2371
785	8667	2359
786	8676	2348
787	8686	2336
788	8694	2325
789	8703	2313
790	8711	2301
791	8720	2290
792	8729	2278
793	8737	2266
794	8746	2255
795	8754	2243
796	8763	2232
797	8772	2220
798	8782	2209
799	8790	2197
800	8800	2186
801	8808	2174
802	8817	2163
803	8826	2151
804	8835	2140
805	8844	2128
806	8852	2117
807	8861	2105
808	8869	2094
809	8878	2082
810	8887	2071
811	8896	2059
812	8906	2048
